N24,Khu Khot
N23,Yaek Kor Por Aor
N22,Royal Thai Air Force Museum
N21,Bhumibol Adulyadej Hospital
N20,Saphan Mai
N19,Sai Yud
N18,Phahon Yothin 59
N17,Wat Phra Sri Mahathat
N16,11th Infantry Regiment
N15,Bang Bua
N14,Royal Forest Department
N13,Kasetsart University
N12,Sena Nikhom
N11,Ratchayothin
N10,Phahon Yothin 24
N9,Ha Yaek Lat Phrao
N8,Mo Chit
N7,Saphan Khwai
N6,Sena Ruam
N5,Ari
N4,Sanam Pao
N3,Victory Monument
N2,Phaya Thai
N1,Ratchathewi
CEN,Siam
E1,Chit Lom
E2,Phloen Chit
E3,Nana
E4,Asok
E5,Phrom Phong
E6,Thong Lo
E7,Ekkamai
E8,Phra Khanong
E9,On Nut
